Matrícula: 10055924, Referência: 207, Valor Formatado: 79.20
Matrícula: 10791023, Referência: 207, Valor Formatado: 84.28
Matrícula: 10609854, Referência: 207, Valor Formatado: 102.42
Matrícula: 10060101, Referência: 207, Valor Formatado: 131.13
Matrícula: 10074487, Referência: 207, Valor Formatado: 79.20
Matrícula: 10769501, Referência: 207, Valor Formatado: 84.28
Matrícula: 80303353, Referência: 207, Valor Formatado: 158.40
Matrícula: 10830087, Referência: 207, Valor Formatado: 80.28
Matrícula: 10748583, Referência: 207, Valor Formatado: 88.42
Matrícula: 10751671, Referência: 207, Valor Formatado: 88.42
Matrícula: 10769525, Referência: 207, Valor Formatado: 84.28
Matrícula: 10048701, Referência: 207, Valor Formatado: 79.20
Matrícula: 10829947, Referência: 207, Valor Formatado: 80.28
Matrícula: 10045137, Referência: 207, Valor Formatado: 131.13
Matrícula: 10082874, Referência: 207, Valor Formatado: 79.20
Matrícula: 50001951, Referência: 207, Valor Formatado: 79.20
Matrícula: 10835582, Referência: 207, Valor Formatado: 80.28
Matrícula: 10049664, Referência: 207, Valor Formatado: 79.20
Matrícula: 10812528, Referência: 207, Valor Formatado: 84.28
Matrícula: 10075962, Referência: 207, Valor Formatado: 79.20
Matrícula: 10754491, Referência: 207, Valor Formatado: 88.42
Matrícula: 10831017, Referência: 207, Valor Formatado: 80.28
Matrícula: 50000610, Referência: 207, Valor Formatado: 79.20
Matrícula: 50000672, Referência: 207, Valor Formatado: 79.20
Matrícula: 10725385, Referência: 207, Valor Formatado: 92.85
Matrícula: 10769537, Referência: 207, Valor Formatado: 84.28
Matrícula: 10087680, Referência: 207, Valor Formatado: 102.42
Matrícula: 10075742, Referência: 207, Valor Formatado: 79.20
Matrícula: 10096837, Referência: 1196, Valor Formatado: 2856.85
Matrícula: 10077336, Referência: 207, Valor Formatado: 79.20
Matrícula: 10704965, Referência: 207, Valor Formatado: 79.20
Matrícula: 10071617, Referência: 207, Valor Formatado: 79.20
Matrícula: 10095871, Referência: 207, Valor Formatado: 79.20
Matrícula: 10087290, Referência: 207, Valor Formatado: 79.20
Matrícula: 50001200, Referência: 207, Valor Formatado: 124.85
Matrícula: 10083153, Referência: 207, Valor Formatado: 79.20
Matrícula: 10835221, Referência: 207, Valor Formatado: 102.71
Matrícula: 10096071, Referência: 207, Valor Formatado: 79.20
Matrícula: 10707187, Referência: 207, Valor Formatado: 124.85
Matrícula: 10835972, Referência: 207, Valor Formatado: 79.20
Matrícula: 10057996, Referência: 207, Valor Formatado: 79.20
Matrícula: 10097556, Referência: 207, Valor Formatado: 79.20
Matrícula: 10703856, Referência: 207, Valor Formatado: 79.20
Matrícula: 10049028, Referência: 207, Valor Formatado: 79.20
Matrícula: 10081363, Referência: 207, Valor Formatado: 79.20
Matrícula: 10077283, Referência: 207, Valor Formatado: 79.20
Matrícula: 10075730, Referência: 207, Valor Formatado: 79.20
Matrícula: 10084042, Referência: 207, Valor Formatado: 79.20
Matrícula: 10096708, Referência: 207, Valor Formatado: 79.20
Matrícula: 10091019, Referência: 207, Valor Formatado: 79.20
Matrícula: 10077350, Referência: 207, Valor Formatado: 79.20
Matrícula: 10080709, Referência: 207, Valor Formatado: 79.20
Matrícula: 10071784, Referência: 207, Valor Formatado: 79.20
Matrícula: 10704185, Referência: 207, Valor Formatado: 124.85
Matrícula: 10756671, Referência: 207, Valor Formatado: 107.85
Matrícula: 10720244, Referência: 207, Valor Formatado: 118.85
Matrícula: 10085670, Referência: 207, Valor Formatado: 79.20
Matrícula: 10075405, Referência: 207, Valor Formatado: 79.20
Matrícula: 10720218, Referência: 207, Valor Formatado: 118.85
Matrícula: 10082678, Referência: 207, Valor Formatado: 79.20
Matrícula: 10720189, Referência: 207, Valor Formatado: 122.56
Matrícula: 10704587, Referência: 207, Valor Formatado: 79.20
Matrícula: 10720165, Referência: 207, Valor Formatado: 122.56
Matrícula: 10703818, Referência: 207, Valor Formatado: 135.13
Matrícula: 10762503, Referência: 207, Valor Formatado: 88.42
Matrícula: 600052174, Referência: 207, Valor Formatado: 158.40
Matrícula: 10076071, Referência: 207, Valor Formatado: 102.42
Matrícula: 10075833, Referência: 207, Valor Formatado: 79.20
Matrícula: 10096112, Referência: 207, Valor Formatado: 79.20
Matrícula: 10079839, Referência: 207, Valor Formatado: 79.20
Matrícula: 600052540, Referência: 207, Valor Formatado: 158.40
Matrícula: 10050560, Referência: 207, Valor Formatado: 79.20
Matrícula: 10073093, Referência: 207, Valor Formatado: 79.20
Matrícula: 10088098, Referência: 207, Valor Formatado: 79.20
Matrícula: 10132590, Referência: 207, Valor Formatado: 79.20
Matrícula: 10791009, Referência: 207, Valor Formatado: 84.28
Matrícula: 10072233, Referência: 207, Valor Formatado: 79.20
Matrícula: 10760402, Referência: 207, Valor Formatado: 79.20
Matrícula: 10705490, Referência: 207, Valor Formatado: 131.13
Matrícula: 10754128, Referência: 207, Valor Formatado: 79.20
Matrícula: 10036485, Referência: 207, Valor Formatado: 79.20
Matrícula: 10815063, Referência: 207, Valor Formatado: 84.28
Matrícula: 80312782, Referência: 207, Valor Formatado: 79.20
Matrícula: 80329618, Referência: 207, Valor Formatado: 79.20
Matrícula: 80311300, Referência: 207, Valor Formatado: 79.20
Matrícula: 80339869, Referência: 207, Valor Formatado: 79.20
Matrícula: 80312469, Referência: 207, Valor Formatado: 79.20
Matrícula: 80346020, Referência: 207, Valor Formatado: 79.20
Matrícula: 80333853, Referência: 207, Valor Formatado: 79.20
Matrícula: 80333877, Referência: 207, Valor Formatado: 97.85
Matrícula: 80313011, Referência: 207, Valor Formatado: 79.20
Matrícula: 80351087, Referência: 207, Valor Formatado: 79.20
Matrícula: 10725268, Referência: 207, Valor Formatado: 92.85
Matrícula: 600070724, Referência: 207, Valor Formatado: 99.36
Matrícula: 80352940, Referência: 207, Valor Formatado: 79.20
Matrícula: 80311348, Referência: 207, Valor Formatado: 79.20
Matrícula: 80349931, Referência: 207, Valor Formatado: 79.20
Matrícula: 80351063, Referência: 207, Valor Formatado: 79.20
Matrícula: 80345064, Referência: 207, Valor Formatado: 79.20
Matrícula: 80311867, Referência: 207, Valor Formatado: 79.20
Matrícula: 80311386, Referência: 207, Valor Formatado: 79.20
Matrícula: 80320492, Referência: 207, Valor Formatado: 79.20
Matrícula: 80314259, Referência: 207, Valor Formatado: 79.20
Matrícula: 80311697, Referência: 207, Valor Formatado: 79.20
Matrícula: 10830972, Referência: 207, Valor Formatado: 80.28
Matrícula: 600070528, Referência: 207, Valor Formatado: 99.36
Matrícula: 80329369, Referência: 207, Valor Formatado: 79.20
Matrícula: 80312225, Referência: 207, Valor Formatado: 79.20
Matrícula: 80312067, Referência: 207, Valor Formatado: 79.20
Matrícula: 80352809, Referência: 207, Valor Formatado: 97.85
Matrícula: 600070516, Referência: 207, Valor Formatado: 109.98
Matrícula: 80344981, Referência: 207, Valor Formatado: 79.20
Matrícula: 80346630, Referência: 207, Valor Formatado: 79.20
Matrícula: 80312079, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070229, Referência: 207, Valor Formatado: 99.36
Matrícula: 600070205, Referência: 207, Valor Formatado: 82.80
Matrícula: 600070487, Referência: 207, Valor Formatado: 99.36
Matrícula: 600070451, Referência: 207, Valor Formatado: 99.36
Matrícula: 80345521, Referência: 207, Valor Formatado: 79.20
Matrícula: 80312172, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070231, Referência: 207, Valor Formatado: 99.36
Matrícula: 80312407, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070815, Referência: 207, Valor Formatado: 109.98
Matrícula: 600070712, Referência: 207, Valor Formatado: 99.36
Matrícula: 600070188, Referência: 207, Valor Formatado: 82.80
Matrícula: 80311726, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070152, Referência: 207, Valor Formatado: 99.36
Matrícula: 10791011, Referência: 207, Valor Formatado: 84.28
Matrícula: 80343030, Referência: 207, Valor Formatado: 79.20
Matrícula: 80323690, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070360, Referência: 207, Valor Formatado: 99.36
Matrícula: 600070255, Referência: 207, Valor Formatado: 99.36
Matrícula: 80312055, Referência: 207, Valor Formatado: 79.20
Matrícula: 80345569, Referência: 207, Valor Formatado: 79.20
Matrícula: 80345650, Referência: 207, Valor Formatado: 79.20
Matrícula: 80330681, Referência: 207, Valor Formatado: 79.20
Matrícula: 80311570, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070126, Referência: 207, Valor Formatado: 99.36
Matrícula: 10816952, Referência: 207, Valor Formatado: 84.28
Matrícula: 10830051, Referência: 207, Valor Formatado: 80.28
Matrícula: 80312316, Referência: 207, Valor Formatado: 79.20
Matrícula: 80311984, Referência: 207, Valor Formatado: 79.20
Matrícula: 80311752, Referência: 207, Valor Formatado: 79.20
Matrícula: 80341549, Referência: 207, Valor Formatado: 79.20
Matrícula: 80312433, Referência: 207, Valor Formatado: 79.20
Matrícula: 80328975, Referência: 207, Valor Formatado: 79.20
Matrícula: 80352419, Referência: 207, Valor Formatado: 97.85
Matrícula: 80343676, Referência: 207, Valor Formatado: 79.20
Matrícula: 10835960, Referência: 207, Valor Formatado: 80.28
Matrícula: 80312005, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070803, Referência: 207, Valor Formatado: 99.36
Matrícula: 80329175, Referência: 207, Valor Formatado: 79.20
Matrícula: 80320014, Referência: 207, Valor Formatado: 79.20
Matrícula: 80330667, Referência: 207, Valor Formatado: 79.20
Matrícula: 80329826, Referência: 207, Valor Formatado: 79.20
Matrícula: 80352897, Referência: 207, Valor Formatado: 79.20
Matrícula: 10831031, Referência: 207, Valor Formatado: 80.28
Matrícula: 80339039, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070140, Referência: 207, Valor Formatado: 99.36
Matrícula: 600070217, Referência: 207, Valor Formatado: 82.80
Matrícula: 80320404, Referência: 207, Valor Formatado: 79.20
Matrícula: 80323509, Referência: 207, Valor Formatado: 79.20
Matrícula: 80352976, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070449, Referência: 207, Valor Formatado: 99.36
Matrícula: 80351051, Referência: 207, Valor Formatado: 79.20
Matrícula: 80352964, Referência: 207, Valor Formatado: 79.20
Matrícula: 80334388, Referência: 207, Valor Formatado: 79.20
Matrícula: 80329151, Referência: 207, Valor Formatado: 79.20
Matrícula: 600070138, Referência: 207, Valor Formatado: 99.36
Matrícula: 80345442, Referência: 207, Valor Formatado: 79.20
Matrícula: 80345935, Referência: 207, Valor Formatado: 79.20
Matrícula: 80311544, Referência: 207, Valor Formatado: 79.20
Matrícula: 80345753, Referência: 207, Valor Formatado: 79.20
Matrícula: 10830075, Referência: 207, Valor Formatado: 80.28
Matrícula: 80100191, Referência: 207, Valor Formatado: 158.40
Matrícula: 80309137, Referência: 207, Valor Formatado: 158.40
Matrícula: 80100309, Referência: 207, Valor Formatado: 158.40
Matrícula: 80100323, Referência: 207, Valor Formatado: 158.40
Matrícula: 80100438, Referência: 207, Valor Formatado: 158.40
Matrícula: 80100646, Referência: 207, Valor Formatado: 158.40
Matrícula: 80758821, Referência: 207, Valor Formatado: 158.40
Matrícula: 80101250, Referência: 207, Valor Formatado: 158.40
Matrícula: 80307878, Referência: 207, Valor Formatado: 158.40
Matrícula: 80101389, Referência: 207, Valor Formatado: 158.40
Matrícula: 80101509, Referência: 207, Valor Formatado: 158.40
Matrícula: 80101535, Referência: 207, Valor Formatado: 158.40
Matrícula: 80101731, Referência: 207, Valor Formatado: 158.40
Matrícula: 80310538, Referência: 207, Valor Formatado: 158.40
Matrícula: 80101925, Referência: 207, Valor Formatado: 158.40
Matrícula: 80101999, Referência: 207, Valor Formatado: 158.40
Matrícula: 80102149, Referência: 207, Valor Formatado: 158.40
Matrícula: 80102163, Referência: 207, Valor Formatado: 158.40
Matrícula: 10081600, Referência: 207, Valor Formatado: 79.20
Matrícula: 80103600, Referência: 207, Valor Formatado: 158.40
Matrícula: 80103765, Referência: 207, Valor Formatado: 158.40
Matrícula: 80305674, Referência: 207, Valor Formatado: 158.40
Matrícula: 80336465, Referência: 207, Valor Formatado: 79.20
Matrícula: 80335461, Referência: 207, Valor Formatado: 79.20
Matrícula: 80324395, Referência: 207, Valor Formatado: 79.20
Matrícula: 80102747, Referência: 207, Valor Formatado: 158.40
Matrícula: 80102864, Referência: 207, Valor Formatado: 158.40
Matrícula: 80102917, Referência: 207, Valor Formatado: 158.40
Matrícula: 80103088, Referência: 207, Valor Formatado: 158.40
Matrícula: 80327828, Referência: 207, Valor Formatado: 158.40
Matrícula: 10073811, Referência: 207, Valor Formatado: 79.20
Matrícula: 10076095, Referência: 207, Valor Formatado: 79.20
Matrícula: 10074607, Referência: 207, Valor Formatado: 79.20
Matrícula: 10075974, Referência: 207, Valor Formatado: 79.20
Matrícula: 10070077, Referência: 207, Valor Formatado: 79.20
Matrícula: 10302092, Referência: 207, Valor Formatado: 102.42
Matrícula: 10830025, Referência: 207, Valor Formatado: 80.28
Matrícula: 10075869, Referência: 207, Valor Formatado: 79.20
Matrícula: 10818053, Referência: 207, Valor Formatado: 80.28
Matrícula: 10083024, Referência: 207, Valor Formatado: 79.20
Matrícula: 10769496, Referência: 207, Valor Formatado: 84.28
Matrícula: 10011112, Referência: 1195, Valor Formatado: 3571.09
